product_id,timestamp,demand_score,inventory_level,competitor_price,current_price,user_type,day_of_week,season,base_price
P001,2025-04-03 10:58:56.533517,0.57,0.97,72.4,52.51,new,Thursday,winter,63.91
P001,2025-04-04 10:58:56.533517,0.65,0.94,69.56,54.04,premium,Friday,winter,63.91
P001,2025-04-05 10:58:56.533517,0.52,0.91,54.45,52.36,premium,Saturday,winter,63.91
P001,2025-04-06 10:58:56.533517,0.61,0.88,62.85,54.04,new,Sunday,winter,63.91
P001,2025-04-07 10:58:56.533517,0.28,0.87,55.59,49.08,new,Monday,winter,63.91
P001,2025-04-08 10:58:56.533517,0.25,0.85,62.08,48.83,premium,Tuesday,winter,63.91
P001,2025-04-09 10:58:56.533517,0.51,0.83,59.71,53.02,new,Wednesday,winter,63.91
P001,2025-04-10 10:58:56.533517,0.51,0.8,56.08,53.33,premium,Thursday,winter,63.91
P001,2025-04-11 10:58:56.533517,0.67,0.77,68.76,56.09,loyal,Friday,winter,63.91
P001,2025-04-12 10:58:56.533517,0.85,0.72,62.31,59.36,premium,Saturday,winter,63.91
P001,2025-04-13 10:58:56.533517,0.83,0.68,57.18,59.46,new,Sunday,winter,63.91
P001,2025-04-14 10:58:56.533517,0.53,0.65,55.69,55.17,loyal,Monday,winter,63.91
P001,2025-04-15 10:58:56.533517,0.57,0.62,65.08,56.09,premium,Tuesday,winter,63.91
P001,2025-04-16 10:58:56.533517,0.47,0.6,55.41,54.76,new,Wednesday,winter,63.91
P001,2025-04-17 10:58:56.533517,0.61,0.56,62.63,57.31,premium,Thursday,winter,63.91
P001,2025-04-18 10:58:56.533517,0.35,0.55,68.8,53.43,new,Friday,winter,63.91
P001,2025-04-19 10:58:56.533517,0.91,0.5,62.82,62.53,loyal,Saturday,winter,63.91
P001,2025-04-20 10:58:56.533517,0.47,0.47,64.76,56.09,loyal,Sunday,winter,63.91
P001,2025-04-21 10:58:56.533517,0.63,0.44,66.75,58.85,premium,Monday,winter,63.91
P001,2025-04-22 10:58:56.533517,0.59,0.41,70.65,58.54,loyal,Tuesday,winter,63.91
P001,2025-04-23 10:58:56.533517,0.5,0.39,66.68,57.37,premium,Wednesday,winter,63.91
P001,2025-04-24 10:58:56.533517,0.36,0.37,70.31,55.42,new,Thursday,winter,63.91
P001,2025-04-25 10:58:56.533517,0.38,0.35,56.11,55.93,loyal,Friday,winter,63.91
P001,2025-04-26 10:58:56.533517,0.73,0.31,55.88,61.71,loyal,Saturday,winter,63.91
P001,2025-04-27 10:58:56.533517,0.77,0.27,67.01,62.73,premium,Sunday,winter,63.91
P001,2025-04-28 10:58:56.533517,0.36,0.26,73.3,56.55,new,Monday,winter,63.91
P001,2025-04-29 10:58:56.533517,0.4,0.23,71.68,57.47,premium,Tuesday,winter,63.91
